symbol,issuer,rating_lp,rating_bucket,sector,currency,price,ytm,macaulay_duration,rv_score,spread_bps,peer_count,peer_unique_issuers,peer_same_issuer_ratio,signal_type,theoretical_price,upside_pct,carry_advantage_pct,cashflow_confidence,structure_type,n_cashflows,cashflow_quality_score,signal_confidence_score,execution_score,liquidity_percentile,market_quality_score,days_stale,spread_bps_current,primary_species,tir_dispersion_bp,has_desarbitraje,signal_category,signal_label,alerts,alert_count,is_outlier,maturity_date
YCAMO,[YCA],,Unrated,Sin mapear,USD,101.1709,0.088325,1.0126,1.432,506.4,6.0,3.0,0.0,cross_credit,106.1393,4.91,5.13,mae,bullet,3,69.8,74.9,50.8,50.0,71.5,0.0,,ARS/CCL,0.0,False,NEUTRO,,,0,False,2027-07-21
YFCGO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,103.2,0.019127,0.6576,-3.428,-253.7,16.0,7.0,0.0,cross_credit,101.4948,-1.65,-1.67,mae,bullet,3,69.8,74.9,60.0,19.4,78.1,0.0,138.76,MEP,0.0,False,POTENCIALMENTE_CARO,POTENCIALMENTE CARO,,0,False,2027-02-27
YFCJO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,107.9,0.064461,4.4006,1.109,54.5,13.0,6.0,0.0,cross_credit,110.4057,2.32,2.4,mae,amortizing,13,83.0,81.5,76.6,66.7,87.3,0.0,69.67999999999999,MEP,73.2,False,NEUTRO,,,0,False,2032-10-16
YFCKO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,101.25,0.034424,0.3995,,,,,,,,,,mae,bullet,2,68.2,41.6,44.9,12.5,78.3,0.0,214.76999999999998,MEP,224.1,True,NEUTRO,,desarbitraje,1,True,2026-11-22
YFCLO,YPF Energía Eléctrica S.A.,AAA(arg),AAA,Energía - Electricidad,USD,105.2,0.047748,2.2309,-0.014,-1.1,23.0,7.0,0.0,cross_credit,105.1747,-0.02,-0.02,mae,bullet,10,81.0,80.5,46.5,34.7,78.8,0.0,302.19,MEP,26.3,False,NEUTRO,,,0,False,2028-11-22
YM34O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,111.85,0.066997,5.1345,1.203,51.2,9.0,6.0,0.222,cross_credit,114.6941,2.54,2.63,mae,amortizing,16,83.0,81.5,99.0,97.2,99.0,0.0,4.77,MEP,61.5,False,NEUTRO,,,0,False,2034-01-17
YM37O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,103.6,0.039146,0.8327,-0.568,-54.8,19.0,8.0,0.158,cross_credit,103.1367,-0.45,-0.46,confirmed,bullet,4,86.4,83.2,88.7,38.9,88.5,0.0,17.41,MEP,0.0,False,NEUTRO,,,0,False,2027-05-07
YM38O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,105.2,0.03843,1.0218,-0.647,-62.3,19.0,8.0,0.158,cross_credit,104.5429,-0.62,-0.64,confirmed,bullet,5,88.0,84.0,94.4,86.1,94.4,0.0,29.189999999999998,MEP,0.0,False,NEUTRO,,,0,False,2027-07-22
YM39O,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,114.25,0.053056,3.4603,-0.525,-31.2,19.0,8.0,0.158,cross_credit,113.0475,-1.05,-1.08,confirmed,bullet,17,100.0,90.0,95.9,80.6,91.6,0.0,9.94,MEP,85.9,False,NEUTRO,,,0,False,2030-07-22
YMCIO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,111.4,0.040975,1.3905,-0.396,-37.5,20.0,8.0,0.15,cross_credit,110.8308,-0.51,-0.52,mae,amortizing,7,74.2,77.1,97.5,93.1,91.3,0.0,12.58,MEP,209.7,True,NEUTRO,,desarbitraje,1,False,2029-06-30
YMCJO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,106.75,0.059388,4.7702,-0.349,-18.1,9.0,6.0,0.333,cross_credit,105.8571,-0.84,-0.86,mae,amortizing,15,83.0,81.5,95.8,90.3,96.7,0.0,23.14,MEP,58.6,False,NEUTRO,,,0,False,2033-09-30
YMCXO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,112.75,0.061682,3.8334,0.568,32.2,14.0,7.0,0.214,cross_credit,114.1001,1.2,1.23,mae,amortizing,11,80.6,80.3,97.9,98.6,96.7,0.0,15.97,MEP,75.3,False,NEUTRO,,,0,False,2031-09-11
YMCYO,YPF S.A.,AAA(arg),AAA,Energía - Petróleo y Gas,USD,103.85,0.053818,2.1176,0.807,75.7,25.0,8.0,0.16,cross_credit,105.4709,1.56,1.6,confirmed,bullet,10,96.0,88.0,85.1,51.4,87.9,0.0,42.49,MEP,0.0,False,NEUTRO,,,0,False,2028-10-10
