entidad,fecha,pais,area,sector,tipo,rating_cp,rating_lp,perspectiva,estado
Compañía General de Combustibles S.A. - (CGC),2026-05-08,Argentina,Finanzas Corporativas,Energia,Obligaciones Negociables Clase 40 Po ...,,AA-(arg),Perspectiva Estable,Confirma
Compañía Marítima Paraguaya S.A.,2026-02-24,Paraguay,Finanzas Corporativas,Empresas,Emisor,,A-py,Tendencia Estable,Asigna
Compañía Mega S.A.,2026-05-06,Argentina,Finanzas Corporativas,Energia,Emisor,,AAA(arg),Perspectiva Estable,Confirma
Compañía Mega S.A.,2026-05-06,Argentina,Finanzas Corporativas,Energia,Obligaciones Negociables Clase 1 Por ...,,AAA(arg),Perspectiva Estable,Confirma
Confibono LXIX,2024-02-29,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,AA-sf(arg),Perspectiva Estable,Confirma
Confibono LXX,2024-02-29,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXX,2024-02-29,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,A-sf(arg),Perspectiva Estable,Confirma
Confibono LXXII,2024-02-29,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXII,2024-08-05,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,BBBsf(arg),Perspectiva Estable,Confirma
Confibono LXXII,2024-08-05,Argentina,Finanzas Estructuradas,Prestamos Personales,CP,,CCCsf(arg),N.C,Confirma
Confibono LXXIII,2024-02-29,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
Confibono LXXIII,2024-08-05,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF B,,BBsf(arg),Perspectiva Estable,Confirma
Confibono LXXIV,2024-08-05,Argentina,Finanzas Estructuradas,Prestamos Personales,VDF A,,AAAsf(arg),Perspectiva Estable,Confirma
